#,count,race,income
1,10,Asian,19589
2,7,Asian,19816
3,7,Asian,21307
4,4,Asian,21869
5,7,Asian,22132
6,4,Asian,23781
7,1,Asian,24140
8,9,Asian,24847
9,9,Asian,25845
10,10,Asian,26354
11,11,Asian,27203
12,4,Asian,28337
13,137,Asian,29099
14,17,Asian,29296
15,6,Asian,29811
16,5,Asian,30398
17,6,Asian,30603
18,9,Asian,31478
19,8,Asian,31888
20,9,Asian,32074
21,16,Asian,32944
22,7,Asian,33758
23,4,Asian,35049
24,7,Asian,35960
25,8,Asian,35996
26,5,Asian,36622
27,6,Asian,37064
28,10,Asian,37084
29,5,Asian,38444
30,1,Asian,39057
31,1,Asian,39079
32,4,Asian,41221
33,1,Asian,42769
34,5,Asian,42951
35,2,Asian,43253
36,3,Asian,43305
37,5,Asian,43425
38,1,Asian,43736
39,10,Asian,43990
40,2,Asian,44627
41,1,Asian,44763
42,8,Asian,45661
43,4,Asian,46008
44,8,Asian,46065
45,5,Asian,46103
46,6,Asian,49914
47,4,Asian,50318
48,8,Asian,51050
49,1,Asian,51589
50,8,Asian,51712
51,9,Asian,51713
52,12,Asian,56649
53,3,Asian,59693
54,15,Asian,59900
55,7,Asian,60384
56,5,Asian,60483
57,8,Asian,60635
58,12,Asian,60680
59,10,Asian,62427
60,4,Asian,62981
61,11,Asian,70706
62,297,Asian,71663
63,22,Asian,74898
64,14,Asian,76424
65,12,Asian,77639
66,21,Asian,83382
67,2,Asian,84331
68,8,Asian,87696
69,6,Asian,89038
70,11,Asian,91197
71,62,Asian,91851
72,11,Asian,92870
73,1,Asian,101237
74,10,Black,19589
75,7,Black,19816
76,7,Black,21307
77,4,Black,21869
78,7,Black,22132
79,4,Black,23781
80,1,Black,24140
81,9,Black,24847
82,9,Black,25845
83,10,Black,26354
84,11,Black,27203
85,4,Black,28337
86,137,Black,29099
87,17,Black,29296
88,6,Black,29811
89,5,Black,30398
90,6,Black,30603
91,9,Black,31478
92,8,Black,31888
93,9,Black,32074
94,16,Black,32944
95,7,Black,33758
96,4,Black,35049
97,7,Black,35960
98,8,Black,35996
99,5,Black,36622
100,6,Black,37064
101,10,Black,37084
102,5,Black,38444
103,1,Black,39057
104,1,Black,39079
105,4,Black,41221
106,1,Black,42769
107,5,Black,42951
108,2,Black,43253
109,3,Black,43305
110,5,Black,43425
111,1,Black,43736
112,10,Black,43990
113,2,Black,44627
