#,count,race,income
1,30,Asian,14916
2,62,Asian,19589
3,356,Asian,19816
4,199,Asian,21307
5,110,Asian,21869
6,349,Asian,22132
7,10,Asian,23457
8,211,Asian,23781
9,41,Asian,24140
10,185,Asian,24847
11,304,Asian,25845
12,219,Asian,26354
13,479,Asian,27203
14,22,Asian,28269
15,238,Asian,28337
16,143,Asian,29099
17,341,Asian,29296
18,223,Asian,29811
19,349,Asian,30398
20,155,Asian,30603
21,653,Asian,31478
22,425,Asian,31888
23,178,Asian,32074
24,247,Asian,32944
25,188,Asian,33758
26,81,Asian,35049
27,73,Asian,35960
28,93,Asian,35996
29,62,Asian,36622
30,245,Asian,37064
31,311,Asian,37084
32,78,Asian,38444
33,58,Asian,39057
34,62,Asian,39079
35,38,Asian,41221
36,13,Asian,42769
37,54,Asian,42951
38,21,Asian,43253
39,34,Asian,43305
40,116,Asian,43425
41,34,Asian,43736
42,158,Asian,43990
43,72,Asian,44627
44,16,Asian,44763
45,251,Asian,45661
46,120,Asian,46008
47,15,Asian,46065
48,130,Asian,46103
49,50,Asian,49914
50,32,Asian,50252
51,21,Asian,50318
52,51,Asian,51050
53,23,Asian,51589
54,79,Asian,51712
55,63,Asian,51713
56,80,Asian,56649
57,26,Asian,59693
58,133,Asian,59900
59,24,Asian,60384
60,34,Asian,60483
61,96,Asian,60635
62,96,Asian,60680
63,52,Asian,62427
64,66,Asian,62981
65,20,Asian,70706
66,217,Asian,71663
67,228,Asian,74898
68,134,Asian,76424
69,87,Asian,77639
70,214,Asian,83382
71,4,Asian,84331
72,19,Asian,87696
73,41,Asian,89038
74,62,Asian,91197
75,125,Asian,91851
76,71,Asian,92870
77,7,Asian,101237
78,30,Black,14916
79,62,Black,19589
80,356,Black,19816
81,199,Black,21307
82,110,Black,21869
83,349,Black,22132
84,10,Black,23457
85,211,Black,23781
86,41,Black,24140
87,185,Black,24847
88,304,Black,25845
89,219,Black,26354
90,479,Black,27203
91,22,Black,28269
92,238,Black,28337
93,143,Black,29099
94,341,Black,29296
95,223,Black,29811
96,349,Black,30398
97,155,Black,30603
98,653,Black,31478
99,425,Black,31888
100,178,Black,32074
101,247,Black,32944
102,188,Black,33758
103,81,Black,35049
104,73,Black,35960
105,93,Black,35996
106,62,Black,36622
107,245,Black,37064
108,311,Black,37084
109,78,Black,38444
110,58,Black,39057
111,62,Black,39079
112,38,Black,41221
113,13,Black,42769
114,54,Black,42951
115,21,Black,43253
116,34,Black,43305
117,116,Black,43425
118,34,Black,43736
119,158,Black,43990
120,72,Black,44627
121,16,Black,44763
122,251,Black,45661
123,120,Black,46008
124,15,Black,46065
125,130,Black,46103
126,50,Black,49914
127,32,Black,50252
128,21,Black,50318
129,51,Black,51050
130,23,Black,51589
131,79,Black,51712
132,63,Black,51713
133,80,Black,56649
134,26,Black,59693
135,133,Black,59900
136,24,Black,60384
137,34,Black,60483
138,96,Black,60635
139,96,Black,60680
140,52,Black,62427
141,66,Black,62981
142,20,Black,70706
143,217,Black,71663
144,228,Black,74898
145,134,Black,76424
146,87,Black,77639
147,214,Black,83382
148,4,Black,84331
149,19,Black,87696
150,41,Black,89038
151,62,Black,91197
152,125,Black,91851
153,71,Black,92870
154,7,Black,101237
155,30,Hispanic,14916
156,62,Hispanic,19589
157,356,Hispanic,19816
158,199,Hispanic,21307
159,110,Hispanic,21869
160,349,Hispanic,22132
161,10,Hispanic,23457
162,211,Hispanic,23781
163,41,Hispanic,24140
164,185,Hispanic,24847
165,304,Hispanic,25845
166,219,Hispanic,26354
167,479,Hispanic,27203
168,22,Hispanic,28269
169,238,Hispanic,28337
170,143,Hispanic,29099
171,341,Hispanic,29296
172,223,Hispanic,29811
173,349,Hispanic,30398
174,155,Hispanic,30603
175,653,Hispanic,31478
176,425,Hispanic,31888
177,178,Hispanic,32074
178,247,Hispanic,32944
179,188,Hispanic,33758
180,81,Hispanic,35049
181,73,Hispanic,35960
182,93,Hispanic,35996
183,62,Hispanic,36622
184,245,Hispanic,37064
185,311,Hispanic,37084
186,78,Hispanic,38444
187,58,Hispanic,39057
188,62,Hispanic,39079
189,38,Hispanic,41221
190,13,Hispanic,42769
191,54,Hispanic,42951
192,21,Hispanic,43253
193,34,Hispanic,43305
194,116,Hispanic,43425
195,34,Hispanic,43736
196,158,Hispanic,43990
197,72,Hispanic,44627
198,16,Hispanic,44763
199,251,Hispanic,45661
200,120,Hispanic,46008
201,15,Hispanic,46065
202,130,Hispanic,46103
203,50,Hispanic,49914
204,32,Hispanic,50252
205,21,Hispanic,50318
206,51,Hispanic,51050
207,23,Hispanic,51589
208,79,Hispanic,51712
209,63,Hispanic,51713
210,80,Hispanic,56649
211,26,Hispanic,59693
212,133,Hispanic,59900
213,24,Hispanic,60384
214,34,Hispanic,60483
215,96,Hispanic,60635
216,96,Hispanic,60680
217,52,Hispanic,62427
218,66,Hispanic,62981
219,20,Hispanic,70706
220,217,Hispanic,71663
221,228,Hispanic,74898
222,134,Hispanic,76424
223,87,Hispanic,77639
224,214,Hispanic,83382
225,4,Hispanic,84331
226,19,Hispanic,87696
227,41,Hispanic,89038
228,62,Hispanic,91197
229,125,Hispanic,91851
230,71,Hispanic,92870
231,7,Hispanic,101237
232,30,Other,14916
233,62,Other,19589
234,356,Other,19816
235,199,Other,21307
236,110,Other,21869
237,349,Other,22132
238,10,Other,23457
239,211,Other,23781
240,41,Other,24140
241,185,Other,24847
242,304,Other,25845
243,219,Other,26354
244,479,Other,27203
245,22,Other,28269
246,238,Other,28337
247,143,Other,29099
248,341,Other,29296
249,223,Other,29811
250,349,Other,30398
251,155,Other,30603
252,653,Other,31478
253,425,Other,31888
254,178,Other,32074
255,247,Other,32944
256,188,Other,33758
257,81,Other,35049
258,73,Other,35960
259,93,Other,35996
260,62,Other,36622
261,245,Other,37064
262,311,Other,37084
263,78,Other,38444
264,58,Other,39057
265,62,Other,39079
266,38,Other,41221
267,13,Other,42769
268,54,Other,42951
