#,count,race,income
1,130,White,50318
2,891,Black,74898
3,86,Hispanic,14916
4,73,White,44763
5,375,Other,35996
6,102,White,59693
7,280,Other,51712
8,807,White,29296
9,216,Black,19589
10,132,Hispanic,39057
11,107,White,60384
12,771,White,30398
13,246,Hispanic,42951
14,390,Black,29099
15,102,Black,59693
16,248,Other,92870
17,130,Asian,50318
18,44,Asian,42769
19,154,Hispanic,51050
20,63,Black,50252
21,693,Asian,32944
22,778,White,59900
23,132,White,39057
24,693,Hispanic,32944
25,1095,Other,83382
26,183,White,35960
27,957,Black,91851
28,136,Black,43305
29,130,Black,50318
30,86,Black,14916
31,891,White,74898
32,836,Asian,19816
33,778,Black,59900
34,44,Hispanic,42769
35,252,Black,43990
36,1602,Asian,31478
37,666,Asian,76424
38,473,Other,32074
39,957,Other,91851
40,740,Asian,37084
41,310,Other,91197
42,557,Hispanic,37064
43,263,Hispanic,43253
44,280,Hispanic,51712
45,323,Other,77639
46,203,Asian,51713
47,169,White,38444
48,693,Other,32944
49,682,White,25845
50,154,Black,51050
51,145,Asian,24140
52,807,Asian,29296
53,280,White,51712
54,100,Asian,60483
55,100,Other,60483
56,246,Other,42951
57,117,Hispanic,43736
58,268,Other,35049
59,41,Other,23457
60,245,Hispanic,44627
61,169,Black,38444
62,541,Other,29811
63,1602,Black,31478
64,248,Asian,46008
65,796,Asian,22132
66,807,Black,29296
67,328,Other,46103
68,401,Other,33758
69,401,White,33758
70,136,Hispanic,43305
71,245,White,44627
72,557,White,37064
73,323,Asian,77639
74,204,Black,56649
75,268,White,35049
76,102,Asian,59693
77,608,Hispanic,26354
78,375,White,35996
79,891,Hispanic,74898
80,772,Hispanic,71663
81,246,Black,42951
82,102,Other,59693
83,807,Hispanic,29296
84,124,Black,39079
85,227,Hispanic,60635
86,694,Black,21307
87,22,Hispanic,84331
88,365,Asian,36622
89,41,Black,101237
90,203,Asian,62981
91,299,Asian,21869
92,796,White,22132
93,778,Asian,59900
94,499,Other,43425
95,401,Asian,33758
96,957,Hispanic,91851
97,73,Asian,44763
98,68,Black,51589
99,297,Black,62427
100,130,Other,49914
101,252,Asian,43990
102,248,Hispanic,92870
103,836,White,19816
104,145,Black,24140
105,608,White,26354
106,479,Asian,28337
107,310,Asian,91197
108,475,White,23781
109,41,Other,101237
110,203,Other,62981
111,130,White,49914
112,541,Hispanic,29811
113,891,Asian,74898
114,66,Hispanic,28269
115,94,Black,89038
116,693,Black,32944
117,128,Black,46065
118,100,White,60483
119,44,Black,42769
120,310,Hispanic,91197
121,94,Hispanic,89038
122,203,Hispanic,62981
123,836,Hispanic,19816
124,130,Black,49914
125,41,White,101237
126,479,White,28337
127,666,White,76424
128,1131,Asian,27203
129,107,Hispanic,60384
130,778,Hispanic,59900
131,299,Other,21869
132,248,Black,92870
133,694,White,21307
134,145,White,24140
135,203,Hispanic,51713
136,682,Hispanic,25845
137,68,Hispanic,51589
138,1095,Asian,83382
139,73,Hispanic,44763
140,542,Hispanic,24847
141,63,Asian,87696
142,94,Other,89038
143,542,Other,24847
144,323,Black,77639
145,666,Hispanic,76424
146,248,Other,46008
147,243,Asian,60680
148,132,Other,39057
149,1131,Hispanic,27203
150,323,Hispanic,77639
151,740,Other,37084
152,41,Asian,23457
153,117,Black,43736
154,63,Hispanic,87696
155,73,Other,44763
156,390,Asian,29099
157,130,Hispanic,50318
158,94,White,89038
159,66,Asian,28269
160,204,White,56649
161,1131,Other,27203
162,100,Black,60483
163,365,Other,36622
164,125,Black,41221
165,946,Other,31888
166,772,White,71663
167,541,Asian,29811
168,1602,Other,31478
169,66,Black,28269
170,891,Other,74898
171,94,Asian,89038
172,107,Black,60384
173,86,Other,14916
174,246,White,42951
175,268,Hispanic,35049
176,124,Hispanic,39079
177,778,Other,59900
178,390,White,29099
179,204,Hispanic,56649
180,63,Other,87696
181,740,White,37084
182,154,Asian,51050
183,41,Hispanic,23457
184,299,White,21869
185,203,White,51713
186,73,Black,44763
187,401,Black,33758
188,125,Hispanic,41221
189,740,Black,37084
190,227,Asian,60635
191,128,White,46065
192,82,Hispanic,70706
193,541,Black,29811
194,946,Black,31888
195,107,Other,60384
196,82,White,70706
197,41,Black,23457
198,541,White,29811
199,22,Asian,84331
200,1095,Hispanic,83382
201,608,Other,26354
202,263,White,43253
203,154,White,51050
204,169,Hispanic,38444
205,216,White,19589
206,86,Asian,14916
207,772,Asian,71663
208,946,Hispanic,31888
209,772,Black,71663
210,557,Black,37064
211,523,Other,30603
212,117,Other,43736
213,243,Black,60680
214,479,Other,28337
215,245,Other,44627
216,310,White,91197
217,796,Hispanic,22132
218,128,Other,46065
219,136,Other,43305
220,323,White,77639
221,203,Black,62981
222,22,Black,84331
223,297,Hispanic,62427
224,623,Other,45661
225,542,Black,24847
226,128,Asian,46065
227,1602,White,31478
228,169,Other,38444
229,86,White,14916
230,682,Asian,25845
231,310,Black,91197
232,216,Asian,19589
233,227,Other,60635
234,523,Asian,30603
235,68,White,51589
236,375,Hispanic,35996
237,203,Black,51713
238,263,Other,43253
239,796,Other,22132
240,204,Asian,56649
241,248,Asian,92870
242,125,White,41221
243,390,Hispanic,29099
244,542,White,24847
245,68,Asian,51589
246,63,Other,50252
247,136,White,43305
248,124,Asian,39079
249,136,Asian,43305
250,246,Asian,42951
251,63,Black,87696
252,499,Asian,43425
253,63,Hispanic,50252
254,740,Hispanic,37084
255,252,Other,43990
256,608,Asian,26354
257,328,Black,46103
258,694,Hispanic,21307
259,1131,Black,27203
260,100,Hispanic,60483
261,475,Other,23781
262,666,Other,76424
263,248,Black,46008
264,523,Black,30603
265,771,Black,30398
266,523,Hispanic,30603
267,245,Asian,44627
268,796,Black,22132
269,252,White,43990
270,280,Asian,51712
271,268,Black,35049
272,248,White,46008
273,473,Black,32074
274,248,Hispanic,46008
275,203,Other,51713
276,693,White,32944
277,771,Asian,30398
278,154,Other,51050
279,772,Other,71663
280,145,Hispanic,24140
281,63,White,87696
282,183,Asian,35960
283,102,Hispanic,59693
284,169,Asian,38444
285,297,Asian,62427
286,203,White,62981
287,771,Hispanic,30398
288,401,Hispanic,33758
289,297,Other,62427
290,608,Black,26354
291,130,Asian,49914
292,41,Asian,101237
293,365,Hispanic,36622
294,475,Asian,23781
295,473,Asian,32074
296,132,Asian,39057
297,124,Other,39079
298,666,Black,76424
299,66,White,28269
300,243,White,60680
301,623,Asian,45661
302,542,Asian,24847
303,124,White,39079
304,499,Hispanic,43425
305,557,Other,37064
306,82,Other,70706
307,771,Other,30398
308,946,Asian,31888
309,41,Hispanic,101237
310,227,White,60635
311,807,Other,29296
312,248,White,92870
313,263,Black,43253
314,145,Other,24140
315,128,Hispanic,46065
316,1131,White,27203
317,44,Other,42769
318,694,Other,21307
319,268,Asian,35049
320,299,Black,21869
321,82,Asian,70706
322,375,Black,35996
323,475,Hispanic,23781
324,623,Hispanic,45661
325,22,Other,84331
326,1095,White,83382
327,623,White,45661
328,243,Hispanic,60680
329,63,Asian,50252
330,523,White,30603
331,252,Hispanic,43990
332,204,Other,56649
333,694,Asian,21307
334,957,White,91851
335,682,Other,25845
336,68,Other,51589
337,328,Hispanic,46103
338,957,Asian,91851
339,22,White,84331
340,245,Black,44627
341,216,Other,19589
342,130,Other,50318
343,183,Hispanic,35960
344,263,Asian,43253
345,499,White,43425
346,82,Black,70706
347,390,Other,29099
348,473,White,32074
349,328,White,46103
350,365,Black,36622
351,475,Black,23781
352,328,Asian,46103
353,297,White,62427
354,125,Other,41221
355,682,Black,25845
356,183,Black,35960
357,130,Hispanic,49914
358,836,Black,19816
359,299,Hispanic,21869
360,125,Asian,41221
361,117,White,43736
362,183,Other,35960
363,946,White,31888
364,473,Hispanic,32074
365,1095,Black,83382
366,66,Other,28269
367,479,Hispanic,28337
368,117,Asian,43736
369,1602,Hispanic,31478
370,243,Other,60680
371,623,Black,45661
372,44,White,42769
373,479,Black,28337
374,499,Black,43425
375,557,Asian,37064
376,216,Hispanic,19589
377,227,Black,60635
378,132,Black,39057
379,280,Black,51712
380,41,White,23457
381,375,Asian,35996
382,365,White,36622
383,107,Asian,60384
384,836,Other,19816
385,63,White,50252
